column,dimension,group_value,total_rows,null_count,null_proportion,empty_count,empty_proportion,whitespace_only_count,whitespace_only_proportion,substantive_count,substantive_proportion,non_null_count,raw_length_min,raw_length_mean,raw_length_p25,raw_length_median,raw_length_p75,raw_length_p90,raw_length_p95,raw_length_p99,raw_length_max,trimmed_length_min,trimmed_length_mean,trimmed_length_p25,trimmed_length_median,trimmed_length_p75,trimmed_length_p90,trimmed_length_p95,trimmed_length_p99,trimmed_length_max
second_serve,year,1986,4349,2708,0.62267187859278,0,0.0,0,0.0,1641,0.37732812140722005,1641,2,11.72151127361365,6.0,10.0,14.0,22.0,28.0,39.0,58,2,11.72151127361365,6.0,10.0,14.0,22.0,28.0,39.0,58
second_serve,year,1987,8420,5322,0.6320665083135392,0,0.0,0,0.0,3098,0.36793349168646083,3098,1,13.686894770819883,6.0,10.0,16.0,27.0,37.0,64.0,127,1,13.686894770819883,6.0,10.0,16.0,27.0,37.0,64.0,127
second_serve,year,1988,6628,4197,0.6332226916113458,0,0.0,0,0.0,2431,0.3667773083886542,2431,1,12.055121349238997,6.0,10.0,15.0,23.0,28.0,43.69999999999982,75,1,12.055121349238997,6.0,10.0,15.0,23.0,28.0,43.69999999999982,75
second_serve,year,1989,7648,4663,0.6097018828451883,0,0.0,0,0.0,2985,0.3902981171548117,2985,1,11.554103852596315,6.0,10.0,14.0,22.0,28.0,41.159999999999854,94,1,11.554103852596315,6.0,10.0,14.0,22.0,28.0,41.159999999999854,94
second_serve,year,1990,14001,8808,0.6290979215770303,0,0.0,0,0.0,5193,0.3709020784229698,5193,1,11.805892547660312,6.0,10.0,14.0,22.0,28.0,42.0,104,1,11.805892547660312,6.0,10.0,14.0,22.0,28.0,42.0,104
second_serve,year,1991,16384,10058,0.6138916015625,0,0.0,0,0.0,6326,0.3861083984375,6326,1,12.002529244388239,6.0,10.0,15.0,22.0,28.0,44.0,94,1,12.002529244388239,6.0,10.0,15.0,22.0,28.0,44.0,94
second_serve,year,1992,14927,9123,0.6111743819923628,0,0.0,0,0.0,5804,0.38882561800763715,5804,2,10.510337698139214,6.0,9.0,13.0,19.0,24.0,36.0,66,2,10.510337698139214,6.0,9.0,13.0,19.0,24.0,36.0,66
second_serve,year,1993,14364,8692,0.6051239209133946,0,0.0,0,0.0,5672,0.3948760790866054,5672,1,10.600846262341326,6.0,9.0,13.0,19.0,25.0,36.0,89,1,10.600846262341326,6.0,9.0,13.0,19.0,25.0,36.0,89
second_serve,year,1994,14386,8672,0.6028082858334491,0,0.0,0,0.0,5714,0.3971917141665508,5714,1,10.858242912145608,6.0,9.0,14.0,20.0,25.0,38.0,74,1,10.858242912145608,6.0,9.0,14.0,20.0,25.0,38.0,74
second_serve,year,1995,16100,9612,0.5970186335403727,0,0.0,0,0.0,6488,0.40298136645962734,6488,1,10.947441430332923,6.0,9.0,14.0,21.0,26.0,38.0,103,1,10.947441430332923,6.0,9.0,14.0,21.0,26.0,38.0,103
second_serve,year,1996,16501,9834,0.5959638809769104,0,0.0,0,0.0,6667,0.4040361190230895,6667,1,10.482825858707065,6.0,9.0,13.0,19.0,24.0,35.0,62,1,10.481325933703316,6.0,9.0,13.0,19.0,24.0,35.0,62
second_serve,year,1997,13062,7837,0.5999846884091257,0,0.0,1,7.65579543714592e-05,5224,0.39993875363650283,5225,1,10.20287081339713,6.0,9.0,13.0,19.0,24.0,34.0,56,0,10.20267942583732,6.0,9.0,13.0,19.0,24.0,34.0,56
second_serve,year,1998,12816,7609,0.593710986267166,0,0.0,0,0.0,5207,0.40628901373283394,5207,1,10.489917418859228,6.0,9.0,13.0,20.0,24.0,36.0,66,1,10.489917418859228,6.0,9.0,13.0,20.0,24.0,36.0,66
second_serve,year,1999,11943,7033,0.588880515783304,0,0.0,0,0.0,4910,0.411119484216696,4910,1,10.890427698574339,6.0,9.0,14.0,20.0,26.0,38.0,67,1,10.890427698574339,6.0,9.0,14.0,20.0,26.0,38.0,67
second_serve,year,2000,14806,8694,0.5871943806564907,0,0.0,0,0.0,6112,0.4128056193435094,6112,2,11.720549738219896,6.0,10.0,15.0,22.0,28.0,38.0,76,2,11.720549738219896,6.0,10.0,15.0,22.0,28.0,38.0,76
second_serve,year,2001,16722,9799,0.5859944982657577,0,0.0,0,0.0,6923,0.41400550173424233,6923,1,11.650873898598872,6.0,10.0,15.0,22.0,29.0,42.0,64,1,11.650873898598872,6.0,10.0,15.0,22.0,29.0,42.0,64
second_serve,year,2002,16964,10066,0.5933742041971233,0,0.0,0,0.0,6898,0.40662579580287667,6898,1,12.506088721368513,6.0,10.0,16.0,24.0,30.0,43.0,82,1,12.506088721368513,6.0,10.0,16.0,24.0,30.0,43.0,82
