aggregation_level,group_type,serve_number,surface,derived_period,validation_fold,shot_type_code,shot_type_description,shot_type_family,attempts,matches,servers,returners,returner_wins,returner_losses,returner_win_rate,wilson_95_lower,wilson_95_upper
code,validation_fold,0,ALL,ALL,validation_2023,f,"derecha, excluidos slices y golpes especiales",groundstroke,34352,620,178,178,13510,20842,0.393281322775966,0.388127970295315,0.398458540508438
code,validation_fold,0,ALL,ALL,pre_validation,b,"revés, excluidos slices y golpes especiales",groundstroke,266203,4188,704,707,106883,159320,0.401509374424781,0.399648643660622,0.403372947698023
code,validation_fold,0,ALL,ALL,validation_2020,b,"revés, excluidos slices y golpes especiales",groundstroke,12343,168,113,113,4979,7364,0.403386534878069,0.394763329201192,0.412069859031242
code,validation_fold,0,ALL,ALL,validation_2021,b,"revés, excluidos slices y golpes especiales",groundstroke,23920,371,165,166,9639,14281,0.402968227424749,0.396768421606076,0.409199194088497
code,validation_fold,0,ALL,ALL,validation_2022,b,"revés, excluidos slices y golpes especiales",groundstroke,41154,646,220,220,16792,24362,0.408028381202313,0.403288884184289,0.41278504652527
code,validation_fold,0,ALL,ALL,validation_2023,b,"revés, excluidos slices y golpes especiales",groundstroke,40729,620,178,177,16643,24086,0.408627759090574,0.403862503454663,0.413410249109761
code,validation_fold,0,ALL,ALL,pre_validation,r,slice de derecha,slice,23770,3383,552,582,6881,16889,0.28948254101809,0.283751487813639,0.295281626488266
code,validation_fold,0,ALL,ALL,validation_2020,r,slice de derecha,slice,1714,156,103,101,501,1213,0.292298716452742,0.271250415329374,0.314275946056274
code,validation_fold,0,ALL,ALL,validation_2021,r,slice de derecha,slice,2963,321,146,143,865,2098,0.291933850826865,0.275841158138715,0.308565350562929
code,validation_fold,0,ALL,ALL,validation_2022,r,slice de derecha,slice,5166,579,194,192,1514,3652,0.293070073557878,0.280815405757267,0.305632260572581
code,validation_fold,0,ALL,ALL,validation_2023,r,slice de derecha,slice,4692,558,154,161,1345,3347,0.286658141517477,0.27389780174972,0.299767532236496
code,validation_fold,0,ALL,ALL,pre_validation,s,slice de revés,slice,102035,4141,682,683,31853,70182,0.312177194100064,0.309341077271268,0.315027452868618
code,validation_fold,0,ALL,ALL,validation_2020,s,slice de revés,slice,2680,153,105,108,671,2009,0.250373134328358,0.234336268819923,0.267124595940721
code,validation_fold,0,ALL,ALL,validation_2021,s,slice de revés,slice,4892,348,153,154,1274,3618,0.260425183973835,0.248318469010237,0.272907857512881
code,validation_fold,0,ALL,ALL,validation_2022,s,slice de revés,slice,7600,625,202,206,1938,5662,0.255,0.245326292481765,0.264921255396809
code,validation_fold,0,ALL,ALL,validation_2023,s,slice de revés,slice,7737,609,172,171,1903,5834,0.245960966782991,0.236492554351664,0.255681517302959
code,validation_fold,0,ALL,ALL,pre_validation,v,volea de derecha,volley,16,16,13,14,6,10,0.375,0.184812325588636,0.613589594544973
code,validation_fold,0,ALL,ALL,validation_2020,v,volea de derecha,volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2021,v,volea de derecha,volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2022,v,volea de derecha,volley,1,1,1,1,0,1,0,0,0.793450685622763
code,validation_fold,0,ALL,ALL,validation_2023,v,volea de derecha,volley,5,5,4,4,0,5,0,0,0.434482464783175
code,validation_fold,0,ALL,ALL,pre_validation,z,volea de revés,volley,3,3,3,3,1,2,0.333333333333333,0.0614919447203962,0.792340399197952
code,validation_fold,0,ALL,ALL,validation_2020,z,volea de revés,volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2021,z,volea de revés,volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2022,z,volea de revés,volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2023,z,volea de revés,volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,pre_validation,o,remate estándar,overhead,5,5,5,5,2,3,0.4,0.117620774232648,0.769275718723987
code,validation_fold,0,ALL,ALL,validation_2020,o,remate estándar,overhead,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2021,o,remate estándar,overhead,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2022,o,remate estándar,overhead,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2023,o,remate estándar,overhead,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,pre_validation,p,remate de revés,overhead,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2020,p,remate de revés,overhead,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2021,p,remate de revés,overhead,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2022,p,remate de revés,overhead,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2023,p,remate de revés,overhead,0,0,0,0,0,0,,,
