scorer,fold,direction,selected_scope,n_points,n_matches,n_orientations,mean_score,observed_rate,calibration_gap,brier_score,log_loss,calibration_in_the_large,ece,max_calibration_error,eligible_target_points,scored_target_points,abstained_target_points,point_coverage,delta_brier_vs_population,delta_log_loss_vs_population,delta_ece_vs_population
opponent_only,2023,T,global,2078,132,226,0.4994212332665517,0.49326275264677577,0.006158480619775919,0.25119704711444585,0.6955853622718962,0.006158480619775919,0.016609549580294314,0.136715495594941,10923,8209,2714,0.7515334615032501,0.0011191727810822005,0.002282428593101682,0.014036885601813012
server_opponent_equal,2020,wide,surface,2654,106,211,0.5171323764692787,0.5041446872645065,0.012987689204772224,0.24989988133851515,0.6929529952426497,0.012987689204772224,0.01566361347078455,0.14416820539506142,4015,3088,927,0.7691158156911582,-0.00022000766582724873,-0.0004341465880991491,0.0006632939915452198
server_opponent_equal,2020,wide,global,434,24,46,0.5194027895451504,0.49078341013824883,0.02861937940690157,0.25000269427838456,0.6931521532422548,0.02861937940690157,0.01566361347078455,0.14416820539506142,4015,3088,927,0.7691158156911582,-0.0006672625584838165,-0.0013356846400468525,0.0006632939915452198
server_opponent_equal,2020,body,surface,2905,109,209,0.5032448408898926,0.4939759036144578,0.009268937275434819,0.2505695661360329,0.6942846809064149,0.009268937275434819,0.01566361347078455,0.14416820539506142,4475,3340,1135,0.7463687150837989,0.0003942102308987505,0.000786738063223491,0.0006632939915452198
server_opponent_equal,2020,body,global,435,23,35,0.5088036962782037,0.5172413793103449,-0.008437683032141208,0.25128620484899433,0.6957657217801512,-0.008437683032141208,0.01566361347078455,0.14416820539506142,4475,3340,1135,0.7463687150837989,0.0015201629311418219,0.0030865008947128514,0.0006632939915452198
server_opponent_equal,2020,T,surface,1834,106,196,0.5020733657562605,0.4830970556161396,0.01897631014012091,0.2486796882658007,0.6904939566702403,0.01897631014012091,0.01566361347078455,0.14416820539506142,2902,2183,719,0.7522398345968297,-0.0014766396320979036,-0.002965887822801494,0.0006632939915452198
server_opponent_equal,2020,T,global,349,29,45,0.5160745381904602,0.4785100286532951,0.037564509537165114,0.25519643864492497,0.7037004971449611,0.037564509537165114,0.01566361347078455,0.14416820539506142,2902,2183,719,0.7522398345968297,0.004931573127414213,0.01002356328555598,0.0006632939915452198
server_opponent_equal,2021,wide,surface,3658,200,378,0.5153255600245581,0.5196828868234008,-0.004357326798842709,0.2489232541370852,0.6909884878616275,-0.004357326798842709,0.005376702646096547,0.29315312057512893,6870,5054,1816,0.7356622998544395,-0.0005908055204575657,-0.0011861167000898343,-0.0007432996402251622
server_opponent_equal,2021,wide,global,1396,84,142,0.521052495133512,0.5200573065902578,0.0009951885432541996,0.2483227045549022,0.6897794201835706,0.0009951885432541996,0.005376702646096547,0.29315312057512893,6870,5054,1816,0.7356622998544395,-0.0012826985067006524,-0.0025783711614008054,-0.0007432996402251622
server_opponent_equal,2021,body,surface,4813,200,383,0.5063876947331939,0.5061292333264077,0.00025846140678620344,0.24980533277990918,0.6927569820908324,0.00025846140678620344,0.005376702646096547,0.29315312057512893,9296,6653,2643,0.715684165232358,-0.00018278865493565055,-0.00036668387006322245,-0.0007432996402251622
