role,scope,direction,threshold_points,stratum_type,stratum,observed_rows,minimum_points,median_points,points_q1,points_q3,median_raw_rate,raw_rate_q1,raw_rate_q3,zero_rate_rows,one_rate_rows,zero_rate_share,one_rate_share,median_wilson_width,wilson_width_p90
server,global,T,250,derived_period,2020s,3834,250.0,781.5,428.0,1283.5,0.5082443237160392,0.4815384550694086,0.5363185381560832,0,0,0.0,0.0,0.0697406817764965,0.10995102249739319
server,surface,wide,0,overall,Overall,13337,1.0,201.0,62.0,574.0,0.5239107332624867,0.4857142857142857,0.5576868829337095,24,43,0.001799505136087576,0.0032241133688235735,0.13620742415831955,0.38595389921368173
server,surface,wide,0,surface,Hard,8887,1.0,287.0,90.0,778.5,0.5233160621761658,0.4887429247275492,0.5545073856401399,16,29,0.001800382581298526,0.003263193428603578,0.11433825380109913,0.3374898667079901
server,surface,wide,0,surface,Clay,3155,1.0,115.0,41.0,295.0,0.5175438596491229,0.46808510638297873,0.5543510902206554,4,6,0.0012678288431061807,0.001901743264659271,0.1790585670397543,0.4287165849758614
server,surface,wide,0,surface,Grass,1295,1.0,81.0,29.0,207.0,0.5544554455445545,0.5,0.6032178253401275,4,8,0.003088803088803089,0.006177606177606178,0.21239908135983565,0.4640159509517274
server,surface,wide,0,derived_period,to_2009,3342,1.0,208.0,66.0,560.75,0.5269543737285672,0.49178490038961997,0.5533498759305211,5,3,0.0014961101137043686,0.0008976660682226212,0.13401715288850347,0.3703380090986952
server,surface,wide,0,derived_period,2010s,3878,1.0,167.0,44.0,597.0,0.5256776556776557,0.48119511263841164,0.5615627301221027,12,25,0.0030943785456420837,0.006446621970087674,0.14950568079770188,0.423835005667854
server,surface,wide,0,derived_period,2020s,6117,1.0,216.0,73.0,572.0,0.5224416517055656,0.48534201954397393,0.5531914893617021,7,15,0.0011443518064410659,0.0024521824423737125,0.1316560011158936,0.36307356841403965
server,surface,wide,10,overall,Overall,12831,10.0,217.0,73.0,603.5,0.524390243902439,0.48717948717948717,0.5568114577729962,0,0,0.0,0.0,0.13139106387947286,0.34025269161823224
server,surface,wide,10,surface,Hard,8625,10.0,304.0,101.0,804.0,0.523517382413088,0.4897959183673469,0.5534883720930233,0,0,0.0,0.0,0.11119320911915231,0.30262005292977256
server,surface,wide,10,surface,Clay,3013,10.0,125.0,48.0,309.0,0.5184770436730123,0.47019867549668876,0.5535714285714286,0,0,0.0,0.0,0.1713414089924712,0.3796751331115563
server,surface,wide,10,surface,Grass,1193,10.0,93.0,37.0,228.0,0.5549738219895288,0.5079365079365079,0.6024096385542169,0,0,0.0,0.0,0.19727566516848744,0.39971742348457623
server,surface,wide,10,derived_period,to_2009,3242,10.0,219.0,75.0,578.0,0.5275045699246783,0.4928566615001011,0.5530973451327433,0,0,0.0,0.0,0.13041295877807826,0.3374898667079902
server,surface,wide,10,derived_period,2010s,3666,10.0,189.0,56.0,638.5,0.5258877631103234,0.4828229735419326,0.5609756097560976,0,0,0.0,0.0,0.14024169943814954,0.36142517763963466
server,surface,wide,10,derived_period,2020s,5923,10.0,229.0,83.0,592.5,0.5227272727272727,0.4860335195530726,0.5523262660759463,0,0,0.0,0.0,0.12805107135450156,0.3227758244295216
server,surface,wide,25,overall,Overall,11773,25.0,255.0,98.0,668.0,0.5247524752475248,0.49019607843137253,0.5555555555555556,0,0,0.0,0.0,0.12128224931551967,0.2702371353951798
server,surface,wide,25,surface,Hard,8108,25.0,340.0,130.0,858.0,0.5238095238095238,0.4920823287120756,0.5522810358932406,0,0,0.0,0.0,0.10538418492544716,0.24949198313043366
server,surface,wide,25,surface,Clay,2647,25.0,153.0,71.0,359.0,0.518918918918919,0.475,0.5526315789473685,0,0,0.0,0.0,0.1559250807541212,0.29197294755994474
server,surface,wide,25,surface,Grass,1018,25.0,117.5,56.25,257.5,0.5577406262079629,0.5150276608042276,0.6023920242373001,0,0,0.0,0.0,0.17618719886585985,0.3116960751393846
server,surface,wide,25,derived_period,to_2009,2990,25.0,254.0,98.0,658.0,0.5288122605363985,0.4961832061068702,0.5522516835016835,0,0,0.0,0.0,0.12136833659705529,0.2701784253068028
server,surface,wide,25,derived_period,2010s,3290,25.0,244.0,83.25,713.75,0.5266676467345364,0.48717948717948717,0.5606128981427299,0,0,0.0,0.0,0.12376371716363127,0.28744581695465626
server,surface,wide,25,derived_period,2020s,5493,25.0,261.0,105.0,641.0,0.5228758169934641,0.4883720930232558,0.5508021390374331,0,0,0.0,0.0,0.11996210274839769,0.2598094605567026
server,surface,wide,50,overall,Overall,10497,50.0,307.0,137.0,747.0,0.5260115606936416,0.49411764705882355,0.5545571245186136,0,0,0.0,0.0,0.11077175465446953,0.21508129355064945
server,surface,wide,50,surface,Hard,7457,50.0,389.0,169.0,929.0,0.524416135881104,0.4947916666666667,0.5509118541033434,0,0,0.0,0.0,0.09862844529864967,0.2040589989079437
server,surface,wide,50,surface,Clay,2233,50.0,191.0,104.0,421.0,0.5216606498194946,0.4825174825174825,0.5526315789473685,0,0,0.0,0.0,0.13986675944987897,0.22799737697952194
server,surface,wide,50,surface,Grass,807,50.0,158.0,90.0,308.5,0.5625,0.5231338149294806,0.6022968048139673,0,0,0.0,0.0,0.15219540348809635,0.2387896725342981
