fold,surface,rank,direction,comparison_scope,orientations,direction_share,mean_score,median_score,mean_score_gap_from_rank_1,median_score_gap_from_rank_1,observed_points,observed_server_wins,observed_win_rate
2023,<ALL>,1,wide,global,92,0.5609756097560976,0.5311174754337231,0.5343369233944757,0.0,0.0,907,469,0.5170893054024256
2023,<ALL>,1,body,global,48,0.2926829268292683,0.5206109112551189,0.5219756379216637,0.0,0.0,500,261,0.522
2023,<ALL>,1,T,global,24,0.14634146341463414,0.5295328803490792,0.5325096772220885,0.0,0.0,181,84,0.46408839779005523
2023,<ALL>,2,wide,surface,157,0.23363095238095238,0.5025987677907359,0.5005980861244019,0.017651550600963795,0.013430863139352822,1637,872,0.5326817348808797
2023,<ALL>,2,body,surface,294,0.4375,0.5042370239390349,0.5049499817841248,0.02360614026630853,0.021768830744731404,3386,1681,0.4964559952746604
2023,<ALL>,2,T,surface,221,0.3288690476190476,0.508237155783539,0.5082619339045288,0.018841959565118336,0.015180141359113497,1915,989,0.5164490861618799
2023,<ALL>,2,wide,global,46,0.2804878048780488,0.5058802800423434,0.5064475015715797,0.017438018925389633,0.014976022063265426,484,231,0.4772727272727273
2023,<ALL>,2,body,global,53,0.3231707317073171,0.5049888935845728,0.508909061323167,0.021454366401628257,0.018068262852688255,581,288,0.49569707401032703
2023,<ALL>,2,T,global,65,0.39634146341463417,0.5091146516386583,0.5117688477593925,0.022989749541983965,0.021530899803426706,590,303,0.5135593220338983
2023,<ALL>,3,wide,surface,128,0.19047619047619047,0.4853059835644198,0.4877258972396487,0.041281929292242114,0.03706426684776776,1337,662,0.4951383694839192
2023,<ALL>,3,body,surface,222,0.33035714285714285,0.4892870667275539,0.4914380275999662,0.03679999524275969,0.03312927818561251,2435,1212,0.497741273100616
2023,<ALL>,3,T,surface,322,0.4791666666666667,0.4842088607358058,0.4848060305614883,0.041117518620898394,0.03774750943511085,2916,1511,0.5181755829903978
2023,<ALL>,3,wide,global,26,0.15853658536585366,0.48703921356778246,0.4889196460288755,0.03701736782098245,0.03450323840182978,290,142,0.4896551724137931
2023,<ALL>,3,body,global,63,0.38414634146341464,0.48577707322393354,0.4917359063700527,0.04866902342704685,0.04351317037925273,671,358,0.533532041728763
2023,<ALL>,3,T,global,75,0.4573170731707317,0.4777820297443994,0.477039055404178,0.045755908967686845,0.04077311196427447,651,327,0.5023041474654378
2023,Hard,1,wide,surface,324,0.5955882352941176,0.5272766317552424,0.5265537080340184,0.0,0.0,3444,1795,0.5211962833914053
2023,Hard,1,body,surface,125,0.22977941176470587,0.5195538823424343,0.5194070904645477,0.0,0.0,1494,718,0.48058902275769744
2023,Hard,1,T,surface,95,0.17463235294117646,0.5242721849958205,0.5212754613928718,0.0,0.0,731,366,0.5006839945280438
2023,Hard,1,wide,global,15,0.625,0.5311125853892683,0.5235530277684844,0.0,0.0,146,66,0.4520547945205479
2023,Hard,1,body,global,5,0.20833333333333334,0.5207793925488533,0.5243341833120838,0.0,0.0,60,32,0.5333333333333333
2023,Hard,1,T,global,4,0.16666666666666666,0.5173546445013502,0.5266362411623555,0.0,0.0,27,10,0.37037037037037035
2023,Hard,2,wide,surface,118,0.21691176470588236,0.5010836075331176,0.4988248970818495,0.01720522850883179,0.013650733648445518,1141,595,0.5214723926380368
2023,Hard,2,body,surface,237,0.43566176470588236,0.5039046941673763,0.5034208216026398,0.022605786946417485,0.02156459447722192,2768,1370,0.4949421965317919
2023,Hard,2,T,surface,189,0.3474264705882353,0.5095618647924122,0.5091836320045511,0.017669113404342456,0.01587800109355364,1588,834,0.5251889168765743
2023,Hard,2,wide,global,7,0.2916666666666667,0.5005058921538632,0.505050505050505,0.015625174862112203,0.018323207957354315,79,36,0.45569620253164556
2023,Hard,2,body,global,10,0.4166666666666667,0.5020118267782528,0.49847493855104247,0.02756786495728251,0.019574317894688026,113,57,0.504424778761062
2023,Hard,2,T,global,7,0.2916666666666667,0.5004480365299256,0.476027397260274,0.032593382773147175,0.03294484094114458,37,23,0.6216216216216216
2023,Hard,3,wide,surface,102,0.1875,0.48639495086381507,0.48777894708217073,0.03901691398380442,0.033274197245022036,1021,514,0.5034280117531832
2023,Hard,3,body,surface,182,0.33455882352941174,0.4907418472430367,0.4920795258681021,0.035964209017031214,0.03284091898395741,2043,1025,0.5017131669114048
2023,Hard,3,T,surface,260,0.47794117647058826,0.48528115007486106,0.48506782607794474,0.038315808010970565,0.03495867994524582,2237,1161,0.518998658918194
2023,Hard,3,wide,global,2,0.08333333333333333,0.48690881381752665,0.48690881381752665,0.04329022200139282,0.04329022200139282,22,15,0.6818181818181818
2023,Hard,3,body,global,9,0.375,0.46771488596189836,0.4548100949525237,0.058986274203554005,0.054019340436089525,63,29,0.4603174603174603
2023,Hard,3,T,global,13,0.5416666666666666,0.48132119672065155,0.477039055404178,0.04477848085333169,0.03625436620581102,81,45,0.5555555555555556
2023,Clay,1,wide,surface,50,0.4672897196261682,0.5247455375804904,0.5273030788136416,0.0,0.0,681,340,0.49926578560939794
2023,Clay,1,body,surface,27,0.2523364485981308,0.5320320997893515,0.5344621769296095,0.0,0.0,256,131,0.51171875
2023,Clay,1,T,surface,30,0.2803738317757009,0.5246175704525726,0.5229515062563008,0.0,0.0,226,107,0.47345132743362833
2023,Clay,1,wide,global,35,0.5223880597014925,0.5312154495873725,0.5340971631560514,0.0,0.0,291,155,0.5326460481099656
2023,Clay,1,body,global,20,0.29850746268656714,0.5292801532459237,0.5271139303365866,0.0,0.0,173,90,0.5202312138728323
2023,Clay,1,T,global,12,0.1791044776119403,0.5302802494125102,0.5311667803128326,0.0,0.0,81,36,0.4444444444444444
2023,Clay,2,wide,surface,31,0.2897196261682243,0.5066961352560826,0.5037146226415095,0.018857128508244673,0.01123192106585258,424,237,0.5589622641509434
2023,Clay,2,body,surface,48,0.4485981308411215,0.5065426432047538,0.5107253992904917,0.02069019453940704,0.02020136826501695,470,219,0.46595744680851064
